GoodsID,GoodsName,SortOrder,Describe,GoodsClass,BagClass,Price,GiftCertificateBuy,BackPrice,BackMinDukeGrade,BackMinMarketLevel,LimitUsePerDay,UseInterval,GroupID,UseType,UsePrompt,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,NotExport,NeedBroad,CanPresent,memberPrice
4001,Sketches,1101,"These fragmentary sketches give an insight into the building process, and will reduce the duration of one building task by 15 minutes.",1,加速类,5,1,20,0,10,0,0,0,2,,1,900,1,,,,,,,,,,,,,,,,,,0,0,1,4
4002,Loading...,1102,Loading...,1,加速类,12,1,40,0,10,0,0,0,2,NULL,1,3600,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,10
4003,Loading...,1103,Loading...,1,加速类,20,1,80,0,10,0,0,0,2,NULL,1,9000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,16
4004,Loading...,1104,Loading...,1,加速类,50,1,200,0,10,0,0,0,2,NULL,1,28800,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
4005,Loading...,1105,Loading...,1,加速类,80,1,320,0,10,0,0,0,2,NULL,1,108000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,64
4011,Loading...,1106,Loading...,1,加速类,5,1,20,0,10,0,0,0,2,NULL,2,900,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,4
4012,Loading...,1107,Loading...,1,加速类,12,1,40,0,10,0,0,0,2,NULL,2,3600,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,10
4013,Loading...,1108,Loading...,1,加速类,20,1,100,0,10,0,0,0,2,NULL,2,10800,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,16
4014,Loading...,1109,Loading...,1,加速类,50,1,260,0,10,0,0,0,2,NULL,2,36000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
4015,Loading...,1110,Loading...,1,加速类,80,1,400,0,10,0,0,0,2,NULL,2,129600,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,64
4021,Loading...,1111,Loading...,1,加速类,30,1,120,0,10,0,0,0,2,NULL,3,30,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,24
4024,Loading...,1115,Loading...,1,加速类,35,1,140,0,10,0,0,0,2,NULL,4,35,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,28
4027,Loading...,1113,Loading...,1,加速类,5,1,20,0,10,0,0,0,2,NULL,5,10,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,4
