id,title,content,brief,target,type
10000,御赐宝盒,"    打开【中级礼盒】获得奖励道具；奖励道具有详细分类，可在右上角的【包裹】界面中查询。","    在主界面的右上角选择【包裹】，打开包裹界面后选择【宝箱】，找到【中级礼盒】右击选择打开。",打开【礼盒】,1
10001,仁政爱民,"    黄金资源的主要来源是百姓的赋税，城池人口数量越多收入越多。提高税率可以增加黄金收入。20%的税率是百姓可以接受的额度，横征暴敛将会遭到百姓的背弃从而离开你的城市。","    打开【宫殿】子界面，在【都城信息】里【税率】后面点击【调整】，输入想要的税率然后点击确定。",【税率】20%,1
10002,群情激昂,"    徭役告示可以增加3个建筑队列，快速扩展城池的规模，是非常实用的道具。","    在主界面的右上角选择【包裹】，打开包裹界面后选择【宝物】，找到【徭役告示】左击并选择【使用】。",使用【徭役告示】,1
10003,热火朝天,"    调整开工率能让更多的空闲劳工投入到生产工作中。空闲人口不够时，也可以降低开工率进行调节。","    打开【宫殿】子界面，选择【资源生产】，在【开工率】输入框内设定所有开工率为100%并点击【保存】。",开工率100%,1
10004,为民祈福,"    为百姓举行祈福仪式，向民众宣扬你的仁义，提高民心并降低民怨。","    打开【宫殿】子界面，选择【都城信息】，点击【安抚】然后选择【祈福】并点击【确定】。",祈福,1
10005,祭天降福,"    天时地利人和缺一不可，祭祀天地是一件重大的活动，祈祷来年的风调雨顺，成功则城市人口增加500，当然如果祭祀不成功，城内居民会离开500人。","    打开【宫殿】子界面，选择【都城信息】，点击【安抚】然后选择【祭祀】并点击【确定】。",祭天,1
10006,增丁添口,"    城池的人口不足会使城池发展受到了极大的限制，发布一系列政令鼓励流民来到您的城池可以使您暂时摆脱困境。","    打开【宫殿】子界面，选择【都城信息】，点击【安抚】然后选择【添丁】并点击【确定】。",增丁,1
10007,神仙升级,"    神仙可以在历练中获得经验，获得等级提升的奖励。当经验达到升级要求就可以对其进行升级操作。升级可以提升仙人的能力，高级仙人的实力可是不容小窥的。","    进入【城内】主界面，选择【聚仙阁】建筑，点选欲升级的神仙。点击【查看】，选择【升级】并把潜能点加到散仙的能力值上再点击【保存】。你也可以使用【洗点】，重新分配将领的属性点数",武将升级,1
10008,获得名仙,在封神无敌的世界里，除了实力一般的散仙以外，各大仙山福地和历史名城中还会出现实力强悍的名仙，达到一定的条件他们就有可能辅助你争雄称霸。,当实力足够以后，可以去探索野外的仙山福地及历史名城，战斗胜利后可以俘虏名仙（功能没实现）,有错,2
10009,知己知彼,"    “知己知彼、百战不殆”，侦察可以获得对方的情报，得知对方的部署、资源数量并制订相应的战术，可以有效的避免兵力的浪费。","    在大地图界面寻找并选择1级无主野地执行【侦察】指令。",侦察,1
10010,遂师,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到2级并达到一定的声望后，通过进贡黄金、宝物来获得官职。",提升官职,1
10011,遂大夫,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到4级并达到一定的声望后，通过进贡黄金、宝物来获得官职。",提升官职,1
10012,下大夫,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到6级并达到一定的声望后，通过进贡黄金、宝物来获得官职。",提升官职,1
10013,中大夫,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到8级并达到一定的声望后，通过进贡黄金、宝物来获得官职。进阶中大夫即可开设一座分城。",提升官职,1
10014,上大夫,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到9级并达到一定的声望后，通过进贡黄金、宝物来获得官职。官职达到上大夫可以进行联盟运输并开启额外的天命系列任务",提升官职,1
10015,司寇,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到10级并达到一定的声望后，通过进贡黄金、宝物来获得官职。官职达到司寇可以使占领野地的最大数量增加一块。",提升官职,1
10016,司士,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到11级并达到一定的声望后，通过进贡黄金、宝物来获得官职。官职达到司士最大分城数量可以增加一座。",提升官职,1
10017,司空,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到12级并达到一定的声望后，通过进贡黄金、宝物来获得官职。官职达到司空，即可使所有运输速度增加一倍。",提升官职,1
10018,司马,"    方今天下大乱，诸侯并起。成汤无道，终归六百年的基业，实力强悍；周室仁明，应运当兴，却改不了是诸侯起家，实力稍弱。双方争战终须积累外力相助。证明自己的实力，辅佐一方君王必将成就一番辉煌。","    宫殿升到13级并达到一定的声望后，通过进贡黄金、宝物来获得官职。官职达到司马可以使占领野地的最大数量增加一块。",提升官职,1
10020,建筑分城,"    为了安抚世间流民，按律中大夫即可于野外平地建筑分城。当然想要构筑分城必须在易于整理的平地才可，并且所需所有资源要自己筹集，当然在分城所能带来的收益面前，这些都不再是问题。","    官职达到中大夫，就可以新建分城了。首先需要占领一块野外平地，并且派遣一位仙人驻扎在占领的野外平地，这样就满足了建立分城的基本条件了，然后等待主城的黄金、粮食、木材、石料和铜矿石都达到了十万，选择驻扎了仙人的平地，点击【筑城】，一座属于你的分城就建立完毕了。",建分城,1
20001,民心所向,"    人口是城池繁荣昌盛的基础，城池的发展力量、赋税收入、士兵来源都离不开百姓。大兴土木，大量建造并升级民居是增加人口的先决条件。","    建造多栋【民居】并升级，使人口上限达到2000",2000,1
20002,民心所向,"    人口是城池繁荣昌盛的基础，城池的发展力量、赋税收入、士兵来源都离不开百姓。大力增加人口，是城池快速发展的基础。","    建造多栋【民居】并升级，使人口上限达到3000",3000,1
20003,民心所向,"    人口是城池繁荣昌盛的基础，城池的发展力量、赋税收入、士兵来源都离不开百姓。继续升级民居，让城市保持繁荣的景象。","    建造多栋【民居】并升级，使人口上限达到5000",5000,1
20004,民心所向,"    人口是城池繁荣昌盛的基础，城池的发展力量、赋税收入、士兵来源都离不开百姓。继续努力，一座繁华热闹的城池很快就将出现了。","    建造多栋【民居】并升级，使人口上限达到7000",8000,1
20005,民心所向,"    人口是城池繁荣昌盛的基础，城池的发展力量、赋税收入、士兵来源都离不开百姓。一座繁华热闹的声名远播的大城池已经出现，向着更高的目标努力吧。","    建造多栋【民居】并升级，使人口上限达到10000",12000,1
20006,民心所向,"    街道上行人来来往往、车水马龙；集市上结棚为市，万商云集；工匠铺的匠人们辛勤的劳作着，打铁声不绝于耳。无一不显示着城市的喧闹繁华还有强大，让周围的力量都不敢忽视。","    建造多栋【民居】并升级，使人口上限达到15000",18000,1
20007,民心所向,"    街道上行人来来往往、车水马龙；集市上结棚为市，万商云集；工匠铺的匠人们辛勤的劳作着，打铁声不绝于耳。无一不显示着城市的喧闹繁华还有强大，让周围的力量都不敢忽视。","    建造多栋【民居】并升级，使人口上限达到30000",30000,1
20008,民心所向,"    街道上行人来来往往、车水马龙；集市上结棚为市，万商云集；工匠铺的匠人们辛勤的劳作着，打铁声不绝于耳。无一不显示着城市的喧闹繁华还有强大，让周围的力量都不敢忽视。","    建造多栋【民居】并升级，使人口上限达到50000",50000,1
20012,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    升级【农田】到5级",升级农场,1
20013,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到800每小时。",产量800,1
20014,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到1600每小时。",产量1600,1
20015,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到2700每小时。",产量2700,1
20016,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到4000每小时。",产量4000,1
20017,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到6000每小时。",产量6000,1
20018,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到10000每小时。",产量10000,1
20019,粮秣充足,"    粮食是重要的民生物资。劳工的伙食、士兵的军饷都离不开粮食。农田等级提高可以增加粮食产量，为了更快的发展城镇，您需要建造足够的农田。","    新建并升级【农田】使粮食产量达到20000每小时。",产量20000,1
20022,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    升级【林场】到5级",升级林场,1
20023,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到800每小时。",产量800,1
20024,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到1600每小时。",产量1600,1
20025,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到2700每小时。",产量2700,1
20026,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到4000每小时。",产量4000,1
20027,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到6000每小时。",产量6000,1
20028,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到10000每小时。",产量10000,1
20029,林木繁茂,"    修建建筑、制作兵器需要消耗大量的木材。特别是在前期生产中，需要消耗大量的木材，建造足够多的伐木场可以保证前期生产不受影响。","    新建并升级【林场】使木材产量达到20000每小时。",产量20000,1
20032,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    升级【石料场】到5级",升级采石场,1
20033,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到800每小时。",产量800,1
20034,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到1600每小时。",产量1600,1
20035,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到2700每小时。",产量2700,1
20036,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到4000每小时。",产量4000,1
20037,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到6000每小时。",产量6000,1
20038,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到10000每小时。",产量10000,1
20039,坚石良才,"    石料主要用来建造建筑、修建城墙。建造石料场，向城池提供足够的石料供应。","    新建并升级【石料场】使石料产量达到20000每小时。",产量20000,1
20042,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    升级【铜矿场】到5级",升级铜矿场,1
20043,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到800每小时。",产量800,1
20044,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到1600每小时。",产量1600,1
20045,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到2700每小时。",产量2700,1
20046,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到4000每小时。",产量4000,1
20047,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到6000每小时。",产量6000,1
20048,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到10000每小时。",产量10000,1
20049,军备无忧,"    生产建筑都需要使用铜矿，士兵的武器、护甲也需要消耗大量的铜矿。建造铜矿场以获得建设、兵器使用的铜矿。","    新建并升级【铜矿场】使铜产量达到20000每小时。",产量20000,1
20051,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到8级。",8,1
20052,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到10级。",10,1
20053,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到12级。",12,1
20054,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到14级。",14,1
20055,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到16级。",16,1
20056,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到18级。",18,1
20057,后勤稳固,"    后勤永远是发展的基础，拥有稳定的后勤基础，无论城市发展还是攻城掠地都将变得轻松容易。","    升级四种基础资源生产设施，让它们都达到20级。",20,1
20101,勤于政务,"    宫殿是管理城池的中心机构，升级宫殿能使行政效率大大提高。每提升1级宫殿，可以多占领1个附属野地、增加1个城外的空地和提高城池的黄金容量。","    升级【宫殿】到3级",升级宫殿3,1
20102,勤于政务,"    宫殿是管理城池的中心机构，升级宫殿能使行政效率大大提高。每提升1级宫殿，可以多占领1个附属野地、增加1个城外的空地和提高城池的黄金容量。","    升级【宫殿】到4级",升级宫殿4,1
20103,勤于政务,"    宫殿是管理城池的中心机构，升级宫殿能使行政效率大大提高。升级宫殿到5级，可以占领5块附属野地、13块城外的空地和800000黄金容量。","    升级【宫殿】到5级",升级宫殿5,1
20104,勤于政务,"    宫殿是管理城池的中心机构，升级宫殿能使行政效率大大提高。升级宫殿到10级，可以占领10块附属野地、19块城外的空地和2800000黄金容量。","    升级【宫殿】到10级",升级宫殿10,1
20105,勤于政务,"    宫殿是管理城池的中心机构，升级宫殿能使行政效率大大提高。升级宫殿到20级，可以占领20块附属野地、33块城外的空地和10550000黄金容量。","    升级【宫殿】到20级",升级宫殿20,1
20110,修仙问道,"    修仙院中的仙人专职修行各种仙术，不同的仙术分别对生产、建设、战斗产生加成效果。随着修仙院的等级提升，所能修炼仙法的等级也会随之提升。","    升级【修仙院】到2级",升级修仙院,1
20120,加固城墙,"    城池的发展已经引来了用心不良的强盗的窥伺，建造高大的城墙可以有效的防御这些强盗的入侵。","    升级【城墙】2级",升级城墙2,1
20121,加固城墙,"    城池的发展已经引来了用心不良的强盗的窥伺，建造高大的城墙可以有效的防御这些强盗的入侵。","    升级【城墙】到3级",升级城墙3,1
20122,加固城墙,"    城池的发展已经引来了用心不良的强盗的窥伺，建造高大的城墙可以有效的防御这些强盗的入侵。","    升级【城墙】4级",升级城墙4,1
20123,加固城墙,"    城池的发展已经引来了用心不良的强盗的窥伺，建造高大的城墙可以有效的防御这些强盗的入侵。","    升级【城墙】到5级",升级城墙5,1
20124,加固城墙,"    城池的发展已经引来了用心不良的强盗的窥伺，建造高大的城墙可以有效的防御这些强盗的入侵。","    升级【城墙】到10级",升级城墙10,1
20125,加固城墙,"    远瞭崇墉百雉，近观戒备森严；一座防守严密的宏伟金城展现在眼前，用“人穷其谋、地尽其险、天造地设”来形容也不为过。使得周围盗贼宵小不敢窥探、强大的诸侯也对其惊叹不已。","    升级【城墙】到20级",升级城墙20,1
20140,礼贤下士,"    散仙们云游四方，心高气傲，要招募他们为您效力，需要以上宾之礼款待并建造聚仙阁供他们居住。聚仙阁等级越高，可以招募的神仙也越多。","    升级【聚仙阁】到2级",升级聚仙阁2,1
20141,礼贤下士,"    散仙们云游四方，心高气傲，要招募他们为您效力，需要以上宾之礼款待并建造聚仙阁供他们居住。聚仙阁等级越高，可以招募的神仙也越多。","    升级【聚仙阁】到3级",升级聚仙阁3,1
20142,礼贤下士,"    散仙们云游四方，心高气傲，要招募他们为您效力，需要以上宾之礼款待并建造聚仙阁供他们居住。聚仙阁等级越高，可以招募的神仙也越多。","    升级【聚仙阁】到4级",升级聚仙阁4,1
20143,礼贤下士,"    散仙们云游四方，心高气傲，要招募他们为您效力，需要以上宾之礼款待并建造聚仙阁供他们居住。聚仙阁等级越高，可以招募的神仙也越多。","    升级【聚仙阁】到5级",升级聚仙阁5,1
20144,礼贤下士,"    散仙们云游四方，心高气傲，要招募他们为您效力，需要以上宾之礼款待并建造聚仙阁供他们居住。聚仙阁等级越高，可以招募的神仙也越多。","    升级【聚仙阁】到10级",升级聚仙阁10,1
20145,礼贤下士,"    散仙们云游四方，心高气傲，要招募他们为您效力，需要以上宾之礼款待并建造聚仙阁供他们居住。聚仙阁等级越高，可以招募的神仙也越多。","    升级【聚仙阁】到20级",升级聚仙阁20,1
